timestamp,unit,sensoridentifier,samplingRate,status,value_nominal
1590040803046836,PSI,PT-012002,1,"0",0.88
1590040803046834,PSI,PT-012001,1,"0",0.88
1590040803046832,Bar,PT-010001,1,"0",0.16
1590040803046830,C,TT-010001,1,"0",-13.24
1590040803046828,C,TT-011203,1,"0",10.67
1590040803046825,C,TT-011202,1,"0",10.67
1590040803046823,C,TT-011201,1,"0",10.67
1590040803046820,C,TT-011103,1,"0",138.67
1590040803046816,C,TT-011102,1,"0",138.67
1590040803046780,C,TT-011101,1,"0",138.67
1590040803046778,C,TT-011003,1,"0",23.52
1590040803046775,C,TT-011002,1,"0",23.52
1590040803046759,C,TT-011001,1,"0",23.52
1590040804047685,PSI,PT-015001,1,"0",0.88
1590040804047683,C,TT-014002,1,"0",10.67
1590040804047681,C,TT-014001,1,"0",10.67
1590040804047679,PSI,PT-014002,1,"0",0.88
1590040804047676,PSI,PT-014001,1,"0",0.88
1590040804047675,C,TT-011507,1,"0",19.2
1590040804047673,C,TT-011506,1,"0",19.2
1590040804047671,C,TT-011505,1,"0",19.2
1590040804047669,C,TT-011504,1,"0",19.2
1590040804047667,C,TT-011503,1,"0",19.2
1590040804047665,C,TT-011502,1,"0",19.2
1590040804047663,C,TT-011501,1,"0",19.2
1590040804047661,PSI,PT-012004,1,"0",0.88
1590040804047659,mm,ZT-013001,1,"0",6.4
1590040804047657,C,TT-011207,1,"0",10.67
1590040804047655,C,TT-011206,1,"0",10.67
1590040804047653,C,TT-011205,1,"0",10.67
1590040804047651,C,TT-011204,1,"0",10.67
1590040804047649,C,TT-011107,1,"0",138.67
1590040804047647,C,TT-011106,1,"0",138.67
1590040804047645,C,TT-011105,1,"0",138.67
1590040804047643,C,TT-011104,1,"0",138.67
1590040804047641,C,TT-011007,1,"0",23.52
1590040804047639,C,TT-011006,1,"0",23.52
1590040804047637,C,TT-011005,1,"0",23.52
1590040804047635,C,TT-011004,1,"0",23.52
1590040804047634,C,TT-012002,1,"0",138.67
1590040804047632,C,TT-012001,1,"0",138.67
1590040804047630,PSI,PT-012002,1,"0",0.88
1590040804047628,PSI,PT-012001,1,"0",0.88
1590040804047625,Bar,PT-010001,1,"0",0.16
1590040804047623,C,TT-010001,1,"0",-13.24
1590040804047621,C,TT-011203,1,"0",10.67
1590040804047619,C,TT-011202,1,"0",10.67
1590040804047617,C,TT-011201,1,"0",10.67
1590040804047616,C,TT-011103,1,"0",138.67
1590040804047614,C,TT-011102,1,"0",138.67
1590040804047612,C,TT-011101,1,"0",138.67
1590040804047609,C,TT-011003,1,"0",23.52
1590040804047606,C,TT-011002,1,"0",23.52
1590040804047589,C,TT-011001,1,"0",23.52
1590040805046900,PSI,PT-015001,1,"0",0.74
1590040805046898,C,TT-014002,1,"0",6.22
1590040805046896,C,TT-014001,1,"0",6.22
1590040805046894,PSI,PT-014002,1,"0",0.74
1590040805046892,PSI,PT-014001,1,"0",0.74
1590040805046890,C,TT-011507,1,"0",16.2
1590040805046889,C,TT-011506,1,"0",16.2
1590040805046887,C,TT-011505,1,"0",16.2
1590040805046885,C,TT-011504,1,"0",16.2
1590040805046883,C,TT-011503,1,"0",16.2
1590040805046881,C,TT-011502,1,"0",15.9
1590040805046879,C,TT-011501,1,"0",15.9
1590040805046877,PSI,PT-012004,1,"0",0.73
1590040805046875,mm,ZT-013001,1,"0",5.3
1590040805046872,C,TT-011207,1,"0",5.78
1590040805046870,C,TT-011206,1,"0",5.78
1590040805046868,C,TT-011205,1,"0",5.78
1590040805046867,C,TT-011204,1,"0",5.78
1590040805046865,C,TT-011107,1,"0",111.78
1590040805046863,C,TT-011106,1,"0",111.78
1590040805046861,C,TT-011105,1,"0",111.78
1590040805046859,C,TT-011104,1,"0",111.78
1590040805046857,C,TT-011007,1,"0",16.04
1590040805046855,C,TT-011006,1,"0",16.04
1590040805046853,C,TT-011005,1,"0",15.36
1590040805046851,C,TT-011004,1,"0",15.36
1590040805046849,C,TT-012002,1,"0",109.33
1590040805046847,C,TT-012001,1,"0",109.33
1590040805046845,PSI,PT-012002,1,"0",0.72
1590040805046844,PSI,PT-012001,1,"0",0.72
1590040805046842,Bar,PT-010001,1,"0",0.13
1590040805046840,C,TT-010001,1,"0",-16.18
1590040805046838,C,TT-011203,1,"0",5.33
1590040805046836,C,TT-011202,1,"0",5.33
1590040805046834,C,TT-011201,1,"0",5.33
1590040805046831,C,TT-011103,1,"0",109.33
1590040805046828,C,TT-011102,1,"0",109.33
1590040805046823,C,TT-011101,1,"0",109.33
1590040805046778,C,TT-011003,1,"0",15.36
1590040805046775,C,TT-011002,1,"0",14.68
1590040805046756,C,TT-011001,1,"0",14.68
1590040806047207,PSI,PT-015001,1,"0",0.88
1590040806047205,C,TT-014002,1,"0",10.67
1590040806047203,C,TT-014001,1,"0",10.67
1590040806047201,PSI,PT-014002,1,"0",0.88
1590040806047199,PSI,PT-014001,1,"0",0.88
1590040806047197,C,TT-011507,1,"0",19.2
1590040806047195,C,TT-011506,1,"0",19.2
1590040806047193,C,TT-011505,1,"0",19.2
1590040806047192,C,TT-011504,1,"0",19.2
1590040806047190,C,TT-011503,1,"0",19.2
1590040806047188,C,TT-011502,1,"0",19.2
1590040806047185,C,TT-011501,1,"0",19.2
1590040806047183,PSI,PT-012004,1,"0",0.88
1590040806047181,mm,ZT-013001,1,"0",6.4
1590040806047179,C,TT-011207,1,"0",10.67
1590040806047177,C,TT-011206,1,"0",10.67
1590040806047175,C,TT-011205,1,"0",10.67
1590040806047174,C,TT-011204,1,"0",10.67
1590040806047172,C,TT-011107,1,"0",138.67
1590040806047169,C,TT-011106,1,"0",138.67
1590040806047168,C,TT-011105,1,"0",138.67
1590040806047165,C,TT-011104,1,"0",138.67
1590040806047163,C,TT-011007,1,"0",23.52
1590040806047161,C,TT-011006,1,"0",23.52
1590040806047159,C,TT-011005,1,"0",23.52
1590040806047157,C,TT-011004,1,"0",23.52
1590040806047155,C,TT-012002,1,"0",138.67
1590040806047153,C,TT-012001,1,"0",138.67
1590040806047151,PSI,PT-012002,1,"0",0.88
1590040806047149,PSI,PT-012001,1,"0",0.88
1590040806047147,Bar,PT-010001,1,"0",0.16
1590040806047145,C,TT-010001,1,"0",-13.24
1590040806047143,C,TT-011203,1,"0",10.67
1590040806047141,C,TT-011202,1,"0",10.67
1590040806047139,C,TT-011201,1,"0",10.67
1590040806047134,C,TT-011103,1,"0",138.67
1590040806047025,C,TT-011102,1,"0",138.67
1590040806047023,C,TT-011101,1,"0",138.67
1590040806047021,C,TT-011003,1,"0",23.52
1590040806047018,C,TT-011002,1,"0",23.52
1590040806047001,C,TT-011001,1,"0",23.52
1590040807046285,PSI,PT-015001,1,"0",0.88
1590040807046283,C,TT-014002,1,"0",10.67
1590040807046281,C,TT-014001,1,"0",10.67
1590040807046279,PSI,PT-014002,1,"0",0.88
1590040807046277,PSI,PT-014001,1,"0",0.88
1590040807046275,C,TT-011507,1,"0",19.2
1590040807046273,C,TT-011506,1,"0",19.2
1590040807046271,C,TT-011505,1,"0",19.2
1590040807046269,C,TT-011504,1,"0",19.2
1590040807046268,C,TT-011503,1,"0",19.2
1590040807046265,C,TT-011502,1,"0",19.2
1590040807046263,C,TT-011501,1,"0",19.2
1590040807046262,PSI,PT-012004,1,"0",0.88
1590040807046260,mm,ZT-013001,1,"0",6.4
1590040807046258,C,TT-011207,1,"0",10.67
1590040807046256,C,TT-011206,1,"0",10.67
1590040807046254,C,TT-011205,1,"0",10.67
1590040807046252,C,TT-011204,1,"0",10.67
1590040807046249,C,TT-011107,1,"0",138.67
1590040807046248,C,TT-011106,1,"0",138.67
1590040807046246,C,TT-011105,1,"0",138.67
1590040807046244,C,TT-011104,1,"0",138.67
1590040807046242,C,TT-011007,1,"0",23.52
1590040807046240,C,TT-011006,1,"0",23.52
1590040807046238,C,TT-011005,1,"0",23.52
1590040807046236,C,TT-011004,1,"0",23.52
1590040807046234,C,TT-012002,1,"0",138.67
1590040807046232,C,TT-012001,1,"0",138.67
1590040807046230,PSI,PT-012002,1,"0",0.88
1590040807046228,PSI,PT-012001,1,"0",0.88
1590040807046226,Bar,PT-010001,1,"0",0.16
1590040807046224,C,TT-010001,1,"0",-13.24
1590040807046222,C,TT-011203,1,"0",10.67
1590040807046220,C,TT-011202,1,"0",10.67
1590040807046217,C,TT-011201,1,"0",10.67
1590040807046214,C,TT-011103,1,"0",138.67
1590040807046188,C,TT-011102,1,"0",138.67
1590040807046186,C,TT-011101,1,"0",138.67
1590040807046184,C,TT-011003,1,"0",23.52
1590040807046181,C,TT-011002,1,"0",23.52
1590040807046167,C,TT-011001,1,"0",23.52
1590040808046510,PSI,PT-015001,1,"0",0.88
1590040808046508,C,TT-014002,1,"0",10.67
1590040808046507,C,TT-014001,1,"0",10.67
1590040808046505,PSI,PT-014002,1,"0",0.88
1590040808046503,PSI,PT-014001,1,"0",0.88
1590040808046501,C,TT-011507,1,"0",19.2
1590040808046499,C,TT-011506,1,"0",19.2
1590040808046497,C,TT-011505,1,"0",19.2
1590040808046495,C,TT-011504,1,"0",19.2
1590040808046492,C,TT-011503,1,"0",19.2
1590040808046491,C,TT-011502,1,"0",19.2
1590040808046489,C,TT-011501,1,"0",19.2
1590040808046487,PSI,PT-012004,1,"0",0.88
1590040808046484,mm,ZT-013001,1,"0",6.4
1590040808046482,C,TT-011207,1,"0",10.67
1590040808046480,C,TT-011206,1,"0",10.67
1590040808046478,C,TT-011205,1,"0",10.67
1590040808046476,C,TT-011204,1,"0",10.67
1590040808046475,C,TT-011107,1,"0",138.67
1590040808046473,C,TT-011106,1,"0",138.67
1590040808046471,C,TT-011105,1,"0",138.67
1590040808046469,C,TT-011104,1,"0",138.67
1590040808046467,C,TT-011007,1,"0",23.52
1590040808046465,C,TT-011006,1,"0",23.52
1590040808046463,C,TT-011005,1,"0",23.52
1590040808046461,C,TT-011004,1,"0",23.52
1590040808046459,C,TT-012002,1,"0",138.67
1590040808046457,C,TT-012001,1,"0",138.67
1590040808046455,PSI,PT-012002,1,"0",0.88
1590040808046453,PSI,PT-012001,1,"0",0.88
1590040808046451,Bar,PT-010001,1,"0",0.16
1590040808046449,C,TT-010001,1,"0",-13.24
1590040808046444,C,TT-011203,1,"0",10.67
1590040808046441,C,TT-011202,1,"0",10.67
1590040808046437,C,TT-011201,1,"0",10.67
1590040808046399,C,TT-011103,1,"0",138.67
1590040808046397,C,TT-011102,1,"0",138.67
1590040808046395,C,TT-011101,1,"0",138.67
1590040808046393,C,TT-011003,1,"0",23.52
1590040808046390,C,TT-011002,1,"0",23.52
1590040808046377,C,TT-011001,1,"0",23.52
1590040809048271,PSI,PT-015001,1,"0",0.88
1590040809048269,C,TT-014002,1,"0",10.67
1590040809048267,C,TT-014001,1,"0",10.67
1590040809048265,PSI,PT-014002,1,"0",0.88
1590040809048262,PSI,PT-014001,1,"0",0.88
1590040809048260,C,TT-011507,1,"0",19.2
1590040809048258,C,TT-011506,1,"0",19.2
1590040809048256,C,TT-011505,1,"0",19.2
1590040809048254,C,TT-011504,1,"0",19.2
1590040809048253,C,TT-011503,1,"0",19.2
1590040809048251,C,TT-011502,1,"0",19.2
1590040809048248,C,TT-011501,1,"0",19.2
1590040809048247,PSI,PT-012004,1,"0",0.88
1590040809048244,mm,ZT-013001,1,"0",6.4
1590040809048242,C,TT-011207,1,"0",10.67
1590040809048240,C,TT-011206,1,"0",10.67
1590040809048239,C,TT-011205,1,"0",10.67
1590040809048237,C,TT-011204,1,"0",10.67
1590040809048235,C,TT-011107,1,"0",138.67
1590040809048233,C,TT-011106,1,"0",138.67
1590040809048231,C,TT-011105,1,"0",138.67
1590040809048229,C,TT-011104,1,"0",138.67
1590040809048227,C,TT-011007,1,"0",23.52
1590040809048225,C,TT-011006,1,"0",23.52
1590040809048222,C,TT-011005,1,"0",23.52
1590040809048221,C,TT-011004,1,"0",23.52
1590040809048219,C,TT-012002,1,"0",138.67
1590040809048217,C,TT-012001,1,"0",138.67
1590040809048215,PSI,PT-012002,1,"0",0.88
1590040809048213,PSI,PT-012001,1,"0",0.88
1590040809048211,Bar,PT-010001,1,"0",0.16
1590040809048209,C,TT-010001,1,"0",-13.24
1590040809048206,C,TT-011203,1,"0",10.67
1590040809048203,C,TT-011202,1,"0",10.67
1590040809048199,C,TT-011201,1,"0",10.67
1590040809048161,C,TT-011103,1,"0",138.67
1590040809048159,C,TT-011102,1,"0",138.67
1590040809048156,C,TT-011101,1,"0",138.67
1590040809048154,C,TT-011003,1,"0",23.52
1590040809048151,C,TT-011002,1,"0",23.52
1590040809048138,C,TT-011001,1,"0",23.52
1590040810049515,PSI,PT-015001,1,"0",0.19
1590040810049513,C,TT-014002,1,"0",-11.56
1590040810049511,C,TT-014001,1,"0",-11.56
1590040810049510,PSI,PT-014002,1,"0",0.19
1590040810049508,PSI,PT-014001,1,"0",0.19
1590040810049507,C,TT-011507,1,"0",4.2
1590040810049505,C,TT-011506,1,"0",4.2
1590040810049503,C,TT-011505,1,"0",4.2
1590040810049501,C,TT-011504,1,"0",4.2
1590040810049500,C,TT-011503,1,"0",4.2
1590040810049498,C,TT-011502,1,"0",4.2
1590040810049496,C,TT-011501,1,"0",4.2
1590040810049495,PSI,PT-012004,1,"0",0.19
1590040810049493,mm,ZT-013001,1,"0",1.4
1590040810049491,C,TT-011207,1,"0",-12
1590040810049489,C,TT-011206,1,"0",-12
1590040810049488,C,TT-011205,1,"0",-12
1590040810049486,C,TT-011204,1,"0",-12
1590040810049484,C,TT-011107,1,"0",14
1590040810049483,C,TT-011106,1,"0",14
1590040810049481,C,TT-011105,1,"0",14
1590040810049479,C,TT-011104,1,"0",14
1590040810049477,C,TT-011007,1,"0",-11.16
1590040810049475,C,TT-011006,1,"0",-11.16
1590040810049473,C,TT-011005,1,"0",-11.16
1590040810049472,C,TT-011004,1,"0",-11.16
1590040810049470,C,TT-012002,1,"0",14
1590040810049468,C,TT-012001,1,"0",14
1590040810049466,PSI,PT-012002,1,"0",0.18
1590040810049464,PSI,PT-012001,1,"0",0.17
1590040810049463,Bar,PT-010001,1,"0",0.03
1590040810049461,C,TT-010001,1,"0",-25.96
1590040810049458,C,TT-011203,1,"0",-12.44
1590040810049455,C,TT-011202,1,"0",-12.44
1590040810049450,C,TT-011201,1,"0",-12.44
1590040810049423,C,TT-011103,1,"0",11.56
1590040810049421,C,TT-011102,1,"0",11.56
1590040810049419,C,TT-011101,1,"0",11.56
1590040810049417,C,TT-011003,1,"0",-11.84
1590040810049415,C,TT-011002,1,"0",-11.84
1590040810049402,C,TT-011001,1,"0",-11.84
1590040811047795,PSI,PT-015001,1,"0",0.88
1590040811047794,C,TT-014002,1,"0",10.67
1590040811047792,C,TT-014001,1,"0",10.67
1590040811047789,PSI,PT-014002,1,"0",0.88
1590040811047787,PSI,PT-014001,1,"0",0.88
1590040811047785,C,TT-011507,1,"0",19.2
1590040811047783,C,TT-011506,1,"0",19.2
1590040811047781,C,TT-011505,1,"0",19.2
1590040811047779,C,TT-011504,1,"0",19.2
1590040811047777,C,TT-011503,1,"0",19.2
1590040811047775,C,TT-011502,1,"0",19.2
1590040811047773,C,TT-011501,1,"0",19.2
1590040811047772,PSI,PT-012004,1,"0",0.88
1590040811047757,mm,ZT-013001,1,"0",6.4
1590040811047750,C,TT-011207,1,"0",10.67
1590040811047748,C,TT-011206,1,"0",10.67
1590040811047746,C,TT-011205,1,"0",10.67
1590040811047744,C,TT-011204,1,"0",10.67
1590040811047742,C,TT-011107,1,"0",138.67
1590040811047740,C,TT-011106,1,"0",138.67
1590040811047739,C,TT-011105,1,"0",138.67
1590040811047737,C,TT-011104,1,"0",138.67
1590040811047735,C,TT-011007,1,"0",23.52
1590040811047733,C,TT-011006,1,"0",23.52
1590040811047731,C,TT-011005,1,"0",23.52
1590040811047730,C,TT-011004,1,"0",23.52
1590040811047725,C,TT-012002,1,"0",138.67
1590040811047723,C,TT-012001,1,"0",138.67
1590040811047721,PSI,PT-012002,1,"0",0.88
1590040811047718,PSI,PT-012001,1,"0",0.88
1590040811047716,Bar,PT-010001,1,"0",0.16
1590040811047714,C,TT-010001,1,"0",-13.24
1590040811047712,C,TT-011203,1,"0",10.67
1590040811047709,C,TT-011202,1,"0",10.67
1590040811047707,C,TT-011201,1,"0",10.67
1590040811047705,C,TT-011103,1,"0",138.67
1590040811047704,C,TT-011102,1,"0",138.67
1590040811047701,C,TT-011101,1,"0",138.67
1590040811047698,C,TT-011003,1,"0",23.52
1590040811047695,C,TT-011002,1,"0",23.52
1590040811047665,C,TT-011001,1,"0",23.52
1590040812050387,PSI,PT-015001,1,"0",0.88
1590040812050385,C,TT-014002,1,"0",10.67
1590040812050384,C,TT-014001,1,"0",10.67
1590040812050381,PSI,PT-014002,1,"0",0.88
1590040812050380,PSI,PT-014001,1,"0",0.88
1590040812050378,C,TT-011507,1,"0",19.2
1590040812050377,C,TT-011506,1,"0",19.2
1590040812050375,C,TT-011505,1,"0",19.2
1590040812050373,C,TT-011504,1,"0",19.2
1590040812050372,C,TT-011503,1,"0",19.2
1590040812050371,C,TT-011502,1,"0",19.2
1590040812050369,C,TT-011501,1,"0",19.2
1590040812050368,PSI,PT-012004,1,"0",0.88
1590040812050366,mm,ZT-013001,1,"0",6.4
1590040812050365,C,TT-011207,1,"0",10.67
1590040812050364,C,TT-011206,1,"0",10.67
1590040812050362,C,TT-011205,1,"0",10.67
1590040812050358,C,TT-011204,1,"0",10.67
1590040812050356,C,TT-011107,1,"0",138.67
1590040812050355,C,TT-011106,1,"0",138.67
1590040812050353,C,TT-011105,1,"0",138.67
1590040812050352,C,TT-011104,1,"0",138.67
1590040812050350,C,TT-011007,1,"0",23.52
1590040812050349,C,TT-011006,1,"0",23.52
1590040812050347,C,TT-011005,1,"0",23.52
1590040812050346,C,TT-011004,1,"0",23.52
1590040812050344,C,TT-012002,1,"0",138.67
1590040812050343,C,TT-012001,1,"0",138.67
1590040812050341,PSI,PT-012002,1,"0",0.88
1590040812050340,PSI,PT-012001,1,"0",0.88
1590040812050338,Bar,PT-010001,1,"0",0.16
1590040812050336,C,TT-010001,1,"0",-13.24
1590040812050334,C,TT-011203,1,"0",10.67
1590040812050333,C,TT-011202,1,"0",10.67
1590040812050319,C,TT-011201,1,"0",10.67
1590040812050318,C,TT-011103,1,"0",138.67
1590040812050316,C,TT-011102,1,"0",138.67
1590040812050315,C,TT-011101,1,"0",138.67
1590040812050313,C,TT-011003,1,"0",23.52
1590040812050311,C,TT-011002,1,"0",23.52
1590040812050295,C,TT-011001,1,"0",23.52
1590040813047071,PSI,PT-015001,1,"0",0.88
1590040813047069,C,TT-014002,1,"0",10.67
1590040813047067,C,TT-014001,1,"0",10.67
1590040813047065,PSI,PT-014002,1,"0",0.88
1590040813047062,PSI,PT-014001,1,"0",0.88
1590040813047060,C,TT-011507,1,"0",19.2
1590040813047058,C,TT-011506,1,"0",19.2
1590040813047056,C,TT-011505,1,"0",19.2
1590040813047055,C,TT-011504,1,"0",19.2
1590040813047053,C,TT-011503,1,"0",19.2
1590040813047051,C,TT-011502,1,"0",19.2
1590040813047049,C,TT-011501,1,"0",19.2
1590040813047047,PSI,PT-012004,1,"0",0.88
1590040813047045,mm,ZT-013001,1,"0",6.4
1590040813047043,C,TT-011207,1,"0",10.67
1590040813047041,C,TT-011206,1,"0",10.67
1590040813047039,C,TT-011205,1,"0",10.67
1590040813047037,C,TT-011204,1,"0",10.67
1590040813047035,C,TT-011107,1,"0",138.67
1590040813047033,C,TT-011106,1,"0",138.67
1590040813047031,C,TT-011105,1,"0",138.67
1590040813047029,C,TT-011104,1,"0",138.67
1590040813047027,C,TT-011007,1,"0",23.52
1590040813047025,C,TT-011006,1,"0",23.52
1590040813047024,C,TT-011005,1,"0",23.52
1590040813047022,C,TT-011004,1,"0",23.52
1590040813047020,C,TT-012002,1,"0",138.67
1590040813047018,C,TT-012001,1,"0",138.67
1590040813047016,PSI,PT-012002,1,"0",0.88
1590040813047013,PSI,PT-012001,1,"0",0.88
1590040813047011,Bar,PT-010001,1,"0",0.16
1590040813047009,C,TT-010001,1,"0",-13.24
1590040813047007,C,TT-011203,1,"0",10.67
1590040813047005,C,TT-011202,1,"0",10.67
1590040813047003,C,TT-011201,1,"0",10.67
1590040813047001,C,TT-011103,1,"0",138.67
1590040813046998,C,TT-011102,1,"0",138.67
1590040813046996,C,TT-011101,1,"0",138.67
